Атакующий_1_ID;Атакующий_2_ID;Атакующий_3_ID;Атакующий_4_ID;Атакующий_5_ID;Винрейт_%;Всего_Боев;Средние_Баннеры;Сезон;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;99;162;64.57;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;98;192;63.32;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;98;103;63.26;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;98;101;63.66;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;97;204;62.5;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;92;112;60.44;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;91;183;58.34;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG90;TRIPLEZERO;VADER;100;170;64.44;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG90;TRIPLEZERO;VADER;100;170;64.44;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG90;TRIPLEZERO;VADER;98;185;63.95;Season 78 - 5v5;;
DOCTORAPHRA;BT1;HK47;IG88;TRIPLEZERO;98;148;61.74;Season 78 - 5v5;;
DOCTORAPHRA;BT1;HK47;IG90;TRIPLEZERO;98;130;63.7;Season 78 - 5v5;;
DOCTORAPHRA;B2SUPERBATTLEDROID;BT1;IG90;TRIPLEZERO;98;128;63.5;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG88;IG90;TRIPLEZERO;98;209;63.38;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG88;IG90;TRIPLEZERO;97;162;62.93;Season 78 - 5v5;;
DOCTORAPHRA;BT1;HK47;IG88;TRIPLEZERO;94;119;57.78;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG88;TRIPLEZERO;VADER;94;115;59.28;Season 78 - 5v5;;
DOCTORAPHRA;BT1;HK47;IG88;TRIPLEZERO;94;241;59.31;Season 78 - 5v5;;
DOCTORAPHRA;BT1;HK47;IG90;TRIPLEZERO;83;221;50.44;Season 78 - 5v5;;
DOCTORAPHRA;BT1;IG90;TRIPLEZERO;VADER;78;395;46.83;Season 78 - 5v5;;
IDENVERSIOEMPIRE;DEATHTROOPER;RANGETROOPER;SCOUTTROOPER_V3;SHORETROOPER;100;138;64.07;Season 78 - 5v5;;
IDENVERSIOEMPIRE;DEATHTROOPER;RANGETROOPER;SCOUTTROOPER_V3;SHORETROOPER;100;138;64.07;Season 78 - 5v5;;
IDENVERSIOEMPIRE;DEATHTROOPER;RANGETROOPER;SCOUTTROOPER_V3;SHORETROOPER;100;112;64.56;Season 78 - 5v5;;
IDENVERSIOEMPIRE;COLONELSTARCK;DEATHTROOPER;SCOUTTROOPER_V3;SHORETROOPER;98;157;59.08;Season 78 - 5v5;;
IDENVERSIOEMPIRE;DEATHTROOPER;RANGETROOPER;SCOUTTROOPER_V3;SHORETROOPER;97;249;57.47;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;KANANJARRUSS3;ZEBS3;100;107;62.2;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;KANANJARRUSS3;ZEBS3;100;107;62.2;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;KANANJARRUSS3;SABINEWRENS3;98;151;61.5;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;EZRABRIDGERS3;KANANJARRUSS3;SABINEWRENS3;98;146;59.34;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;KANANJARRUSS3;SABINEWRENS3;97;141;63.5;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;KANANJARRUSS3;SABINEWRENS3;97;395;59.03;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;EZRABRIDGERS3;KANANJARRUSS3;96;138;58.72;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;EZRABRIDGERS3;KANANJARRUSS3;96;191;59.28;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;KANANJARRUSS3;SABINEWRENS3;95;662;58.63;Season 78 - 5v5;;
HERASYNDULLAS3;CAPTAINREX;CHOPPERS3;EZRABRIDGERS3;SABINEWRENS3;95;141;58.79;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;100;345;64.59;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;100;345;64.59;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;100;270;64.84;Season 78 - 5v5;;
FINN;AMILYNHOLDO;EPIXFINN;EPIXPOE;ZORIIBLISS_V2;100;241;63.1;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;RESISTANCETROOPER;ZORIIBLISS_V2;100;141;64.86;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;REY;ZORIIBLISS_V2;100;126;63.22;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;99;1897;62.85;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;99;270;64.61;Season 78 - 5v5;;
FINN;POE;RESISTANCETROOPER;ROSETICO;ZORIIBLISS_V2;99;194;63.42;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;RESISTANCETROOPER;ZORIIBLISS_V2;99;368;62.67;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;99;141;63.84;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;99;140;64.26;Season 78 - 5v5;;
FINN;EPIXFINN;RESISTANCETROOPER;ROSETICO;ZORIIBLISS_V2;99;132;62.64;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;99;258;63.54;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;99;2463;62.36;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;99;603;64.09;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;99;201;59.25;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;98;179;59.18;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;98;418;64.13;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;98;309;63.53;Season 78 - 5v5;;
FINN;EPIXFINN;POE;ROSETICO;ZORIIBLISS_V2;98;760;62.24;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;97;285;62.24;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;97;142;63.49;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;97;480;63.44;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;RESISTANCETROOPER;ZORIIBLISS_V2;97;152;63.24;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;97;332;61.29;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;96;433;62.97;Season 78 - 5v5;;
FINN;EPIXFINN;POE;ROSETICO;ZORIIBLISS_V2;96;198;63.01;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;96;132;61.77;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;96;126;59.75;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;96;282;62.55;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;96;320;62.59;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;95;730;62.23;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;95;277;61.69;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;95;613;62.02;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;POE;ZORIIBLISS_V2;95;272;62.12;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;95;589;62.05;Season 78 - 5v5;;
FINN;EPIXFINN;POE;ROSETICO;ZORIIBLISS_V2;95;148;61.93;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;94;184;61.4;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;ROSETICO;ZORIIBLISS_V2;94;367;61.2;Season 78 - 5v5;;
FINN;EPIXFINN;POE;ROSETICO;ZORIIBLISS_V2;94;122;60.84;Season 78 - 5v5;;
FINN;EPIXFINN;POE;ROSETICO;ZORIIBLISS_V2;93;256;60.88;Season 78 - 5v5;;
FINN;EPIXFINN;EPIXPOE;RESISTANCETROOPER;ZORIIBLISS_V2;91;212;57.91;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;100;236;59.87;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;100;236;59.87;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;100;176;64.93;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;100;141;64.04;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;98;188;61.09;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;98;517;63.04;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;98;393;60.73;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;98;291;61.31;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;97;107;53.95;Season 78 - 5v5;;
DARTHNIHILUS;DARTHSION;DARTHTALON;DARTHTRAYA;SAVAGEOPRESS;96;123;59.76;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;99;219;63.95;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;MACEWINDU;PADMEAMIDALA;98;156;61.29;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;97;686;63.13;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;96;250;58.52;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;96;171;61.65;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;96;269;61.31;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;95;2534;59.03;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;95;211;58.72;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;94;201;60;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;GENERALSKYWALKER;93;101;56.73;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;90;432;53.51;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;88;1070;56.4;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;83;153;53.88;Season 78 - 5v5;;
JEDIMASTERKENOBI;AHSOKATANO;COMMANDERAHSOKA;GENERALKENOBI;PADMEAMIDALA;82;128;50.92;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;PLOKOON;VANGUARDTEMPLEGUARD;100;238;64.33;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;PLOKOON;VANGUARDTEMPLEGUARD;100;238;64.33;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;100;202;59.57;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;SHAAKTI;VANGUARDTEMPLEGUARD;100;178;63.58;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;527;63.7;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;417;63.96;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;488;63.03;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;438;64.13;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;388;64.52;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;99;704;63.28;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;99;306;63.29;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;99;756;63.14;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;1493;63.03;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;291;62.77;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;SHAAKTI;VANGUARDTEMPLEGUARD;99;394;63.66;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;99;752;59.14;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;PLOKOON;VANGUARDTEMPLEGUARD;99;234;62.15;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;7068;63.85;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;3331;62.68;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;1250;64.18;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;163;62.07;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;235;63.25;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;449;62.42;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;98;1434;63.1;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;3151;62.1;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;178;62.28;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;407;61.36;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;173;61.84;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;98;320;61.63;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;SHAAKTI;VANGUARDTEMPLEGUARD;98;207;62.3;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;SHAAKTI;VANGUARDTEMPLEGUARD;98;501;61.05;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;97;268;61.52;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;97;1834;60.75;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;97;306;63.2;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;AAYLASECURA;DEPABILLABA;JOCASTANU;VANGUARDTEMPLEGUARD;96;1617;58.06;Season 78 - 5v5;;
JEDIMASTERMACEWINDU;DEPABILLABA;JOCASTANU;KELLERANBEQ;VANGUARDTEMPLEGUARD;96;298;57.91;Season 78 - 5v5;;
